feedback_id,user_id,product_id,rating,date,category,summary,positive_score,comment
28,9846,71,1.0,2023-12-23,コスパ・お得感,価格が高すぎて不満であり、再購入意思はない。,0.05,ここは本当に高すぎます。価格設定が非常に不満で、他の店と比べても倍以上の価格で買わされていると感じます。もう二度と買いません。
71,2010,75,1.0,2023-09-26,品揃え・在庫,品揃えが乏しく、欲しい商品が見つからない。,0.05,品揃えがひどい。欲しい商品が全く置いていないし、他の店舗で見かける商品すらない。何度も行ってもがっかりするばかりです。
6,465,61,2.0,2023-08-28,店舗設備・環境,店内は狭く商品整理が不十分で買い物しづらい。,0.15,店内の通路はやや狭く、商品があまり整理されていないと感じました。混雑している時間帯には歩きづらく、買い物がしにくかったです。改善してほしいです。
16,7602,48,2.0,2023-08-18,コスパ・お得感,セールが少なく、他店より魅力を感じにくい。,0.2,セールや特売があまり頻繁に行われないので、少しがっかりしています。お得感があまりないので、他の店に比べて魅力を感じにくいです。
64,7613,33,2.0,2023-03-24,品揃え・在庫,新商品の入荷が他店より遅い傾向がある。,0.35,新商品は時々見かけますが、他の店に比べると少し遅いかなと感じることがあります。
72,628,52,2.0,2023-06-26,コスパ・お得感,他店と比べて価格が割高に感じる。,0.2,価格が高いと感じることが多いです。特に他の店ではもっと安く買えることがあるので、ここでは少し割高に思ってしまいます。
90,3338,37,2.0,2023-11-06,店舗設備・環境,トイレとイートインスペースの清掃が不十分で不快感があった。,0.2,トイレは不潔ではないものの、清掃が行き届いておらず、少し不快感を感じました。イートインスペースもテーブルが汚れていて、清潔さが欠けていたので、もう少し気を使ってほしいと思いました。
92,5971,41,2.0,2023-12-12,品揃え・在庫,新商品の入荷頻度と入れ替えペースが遅い。,0.2,新商品があまり頻繁に入ってこないのが残念です。入れ替えのペースが遅いように感じます。
109,3105,33,2.0,2023-07-07,店舗設備・環境,トイレとイートインスペースの清掃が不十分で不快感があった。,0.2,トイレは不潔ではないものの、清掃が行き届いておらず、少し不快感を感じました。イートインスペースもテーブルが汚れていて、清潔さが欠けていたので、もう少し気を使ってほしいと思いました。
112,7473,30,2.0,2023-07-06,接客・サービス,店員は質問に答えたが、接客態度に改善の余地あり。,0.35,店員は質問には答えてくれたものの、少し無愛想に感じました。もう少し丁寧に対応してもらえたら、もっと気持ちよく買い物できたと思います。
118,3780,74,2.0,2023-06-18,接客・サービス,店員の態度が冷たく、温かみが欲しかった。,0.3,店員の態度は少し冷たかったです。簡単に説明はしてくれたものの、もう少し温かみがあればもっと快適に買い物できたかなと思います。
127,8042,92,2.0,2023-11-18,コスパ・お得感,セールは少なく、割引幅も小さいため失望している。,0.05,セールや特売がほとんどなく、あっても期待外れです。価格が高いままで、割引の幅も少なく、完全にがっかりしています。
188,7994,64,2.0,2023-10-19,品揃え・在庫,品揃えは良いが、在庫不足が時々あり改善を希望。,0.6,品揃えは悪くないですが、時々欲しい商品が売り切れていることがあります。もう少し在庫を多くしてもらえると嬉しいです。
8,3371,35,3.0,2023-08-03,接客・サービス,店員の態度は普通だが、もう少し親切さが欲しかった。,0.6,店員の態度はまあまあでしたが、もう少し明るくて親切だったらよかったかなと思います。それでも、問題なく買い物できたので、悪くはなかったです。
10,3978,58,3.0,2023-12-17,接客・サービス,店員の対応は少し遅かったが、最終的には問題なかった。,0.65,店員に質問したのですが、少しだけ対応が遅くて、少し不安になりました。でも、最終的には答えてくれたので、大きな問題ではありませんでした。
11,4001,25,3.0,2023-02-06,コスパ・お得感,他店に比べてポイント還元や割引の魅力が不足している。,0.2,ポイント還元や割引があっても、正直他の店ほどのインパクトはありません。もっと魅力的な制度を提供してほしいと思っています。
20,4757,9,3.0,2024-01-01,コスパ・お得感,他店と比べて特典の優遇が物足りない。,0.35,ポイント還元や割引があるけど、他の店に比べてそこまでお得感はありません。もう少し優遇されているといいなと思います。
21,9101,6,3.0,2023-06-22,品質,生鮮食品は時々新鮮さに欠けるが他店より良い。,0.55,生鮮食品は悪くないですが、たまに少し新鮮さに欠けることがあります。それでも、他の店に比べればまだマシです。
24,504,91,3.0,2023-02-05,品質,商品の品質にばらつきがあり、特に青果物の鮮度に不満がある。,0.3,商品の品質には少しばらつきがあります。特に果物や野菜は時々傷んでいることがあるので、もっと新鮮なものを期待していました。
29,9483,56,3.0,2023-02-13,接客・サービス,レジ対応は迅速だが笑顔と親しみやすさに欠けた。,0.55,レジ対応はまずまずでした。特に問題なく、商品を迅速に処理してくれましたが、笑顔が少なく感じました。価格に見合ったサービスだったかなと思いますが、もう少し親しみやすさがあれば良かったです。
33,6917,37,3.0,2023-02-09,店舗設備・環境,店内は整頓されているが狭く混雑していた。,0.65,店内は比較的きれいに整頓されていましたが、少し混雑していて通路が狭く感じることがありました。商品は見やすかったですが、もう少し広くしてくれるとありがたいです。
78,8194,22,3.0,2023-07-03,品揃え・在庫,おかずの品揃えは良いが、バリエーションを増やしてほしい。,0.65,おかずコーナーの品揃えは悪くないけれど、いつも同じなのでもっと工夫してもらえると嬉しいです。全体的には満足しています。
79,4194,66,3.0,2023-12-18,接客・サービス,レジ対応は丁寧だが時間がかかり改善の余地あり。,0.65,レジでの対応は丁寧でしたが、少し時間がかかってしまいました。価格に見合ったサービスだとは思いますが、もう少し速ければ、より満足度が高くなったのではないかと感じました。
