review_id,user_id,review_date,review,pos_food_and_beverages_summary,pos_inflight_entertainment_summary,pos_wifi_connectivity_summary,pos_value_for_money_summary,pos_ground_service_summary,pos_cabin_staff_service_summary,pos_seat_comfort_summary,neg_food_and_beverages_summary,neg_inflight_entertainment_summary,neg_wifi_connectivity_summary,neg_value_for_money_summary,neg_ground_service_summary,neg_cabin_staff_service_summary,neg_seat_comfort_summary,flight_id,flight_date,route_id,seat_type,is_recommended,rating_overall,rating_seat_comfort,rating_cabin_staff_service,rating_ground_service,rating_value_for_money,rating_food_beverages,rating_ife,rating_wifi_connectivity
31,30,2024-11-19,最近海外旅行に行った際、飛行機内でソーシャルメディアをチェックしながら、旅行先の情報を調べるのにWi-Fiがすぐに繋がり、非常に便利だった。普段から仕事で海外出張も多く、機内でのインターネット環境は必須だと思っているので、これは大変助かった。しかし、チケット代が高いが、その分の価値が感じられないのが正直な感想だ。次回は価格に見合うだけのサービスを求めたい。,-,飛行機内でWi-Fiがすぐに繋がり、ソーシャルメディアのチェックや旅行先の情報収集が非常に便利だった。,飛行機内でWi-Fiがすぐに接続でき、ソーシャルメディアのチェックや旅行先の情報検索が非常に便利だった。,-,-,-,-,-,-,-,チケット代が高いのに見合う価値が感じられないので、次回は価格に見合うサービスを期待したい。,-,-,-,A470-900,2024-11-18,NRT-LHR,Premium Economy,True,3,4,4,4,3,4,4,3
32,107,2025-02-15,先日利用した航空サービスは期待外れだった。飛行機の揺れがひどくて不安だったが、スタッフがしっかりとサポートしてくれて安心して過ごせたのは良かった。私は普段から出張で海外に行くことが多く、今回も重要な商談が控えていたので、機内でしっかりと準備をしようと思っていた。しかし、価格が高いにも関わらず、機内Wi-Fiが遅くて使い物にならなかったのは残念だった。結局、ネットを使えずに商談の準備ができなかった。さらに、座席で提供された食事はフレッシュさが感じられず、まるでホテルのバンケット料理のようなものだった。,-,-,-,-,-,飛行機の揺れがひどくて不安だったが、スタッフがしっかりとサポートしてくれたおかげで安心して過ごせた。,-,座席で提供された食事はフレッシュさが感じられず、まるでホテルのバンケット料理のようだった。,座席で提供された食事はフレッシュさが感じられず、まるでホテルのバンケット料理のようだった。,価格が高いにも関わらず、機内Wi-Fiが遅くて使い物にならず、重要な商談の準備ができなかった。,高額な料金を支払ったにも関わらず、機内Wi-Fiが遅すぎて使用できず、商談準備ができなかったうえ、提供された食事もフレッシュさに欠けていた。,-,-,-,B845-9,2025-02-14,HND-ITM,Premium Economy,False,3,4,3,2,3,2,4,3
33,23,2024-12-26,先日は初めてのヨーロッパ旅行で、期待と不安が入り混じっていました。私は普段あまり海外旅行に行く機会がないので、事前にいろいろと調べていたのですが、まず空港での移動手段に困りました。タクシーサービスを利用しようと思っていたのに、手配ミスでかなり長時間待つことになってしまい、スタッフの方の対応もあまり親切ではなかったので、結局別の手段で移動しました。飛行機の中では、子供が退屈そうにしていたので、機内エンターテイメントに期待したのですが、ゲームがあまり面白くなくて残念でした。もっと面白いゲームがあればよかったなと思います。一方で、現地の情報が載った冊子がとても役に立ちました。観光地やレストランの情報が豊富で、旅行の計画がより充実したものになりました。,-,-,-,-,現地の情報が載った冊子は観光地やレストランの情報が豊富で、旅行計画の充実に役立ちました。,-,-,-,-,-,-,タクシーサービスの手配ミスで長時間待たされ、スタッフの対応も親切さに欠けていたため、別の移動手段を選ばざるを得なかった。,-,-,A390-100,2024-12-25,HND-SFO,Economy Class,False,3,2,3,3,3,4,3,3
34,108,2025-03-30,今回初めてビジネスクラスを利用したが、値段が高かったが、サービスの質が高く、映画やゲームなどのエンタメが非常に充実していたので満足した。長時間の待機中、スタッフがラウンジのサービスをしっかりと説明してくれて、快適な時間を過ごせた。ドリンクも豊富で、リラックスできた。料金が高いが、それに見合った優れたサービスが提供され、フライト全体が快適だった。私は普段仕事で海外に行くことが多いが、今回のフライトでまた利用したいと思った。,ドリンクが豊富に用意されており、リラックスして楽しむことができた。,映画やゲームなどが非常に充実していて満足した。,-,料金は高いものの、質の高いサービス、充実したエンターテイメント、丁寧なラウンジ案内、豊富なドリンクなど、価格に見合った優れたサービスが提供されて満足できた。,長時間の待機中、スタッフがラウンジのサービスをしっかりと説明してくれたおかげで快適な時間を過ごせ、豊富なドリンクでリラックスできました。,長時間の待機中、スタッフがラウンジのサービスをしっかりと説明してくれたおかげで快適な時間を過ごせた。,-,-,-,-,-,-,-,-,A450-800,2025-03-29,HND-CTS,Business Class,True,5,3,4,3,4,3,3,4
35,8,2024-11-19,最近ベトナムへの出張が増えており、毎回同じ航空会社を利用している。先日の帰りもいつものように利用したが、あまり良い気分では帰って来れなかった。旅行中、初めての場所に行くため不安だったが、空港のスタッフの冷たい対応でさらに不安が募った。笑顔一つ見せず、案内も不十分だったため、空港での待ち時間が不愉快だった。機内ではドキュメンタリーを観て疲れを癒やそうとしたが、ラインナップが全て2年前と同じで、余計に疲れた。空港に着いてからも仕事をしなければならず、仕事に欠かせない空港のWi-Fiを利用したが、非常に遅くスムーズに仕事ができなかった。スタッフに改善を促したが、改善の意欲は見られなかった。,-,-,-,-,-,-,-,-,-,空港のWi-Fiが非常に遅く、仕事がスムーズにできず、スタッフに改善を促しても意欲が見られなかった。,-,空港スタッフが笑顔なく冷たい対応で案内も不十分だったため待ち時間が不愉快で、空港のWi-Fiも非常に遅くスムーズに仕事ができず、改善を促しても意欲が見られなかった。,-,-,A390-100,2024-11-18,HND-ITM,Economy Class,False,1,2,3,3,4,4,4,3
36,96,2024-12-01,先日、海外旅行でプレミアムエコノミーでフライトを利用しました。高い料金を払ったが、その分の価値が十分に感じられた。特に快適な座席と質の高いサービスに満足していました。しかし、機内で突如として隣の席の人が体調不良を訴えたが、スタッフの対応が遅すぎた。迅速に対応してほしいのに、声をかけても全く焦らず、何度も確認してからしか動いてくれなかった。非常に不安な時間だった。,-,-,-,高い料金を払いましたが、快適な座席と質の高いサービスにより十分な価値を感じました。,-,-,プレミアムエコノミーの座席は非常に快適で、高い料金に見合う価値がありました。,-,-,-,-,-,隣席の乗客が体調不良を訴えた際、スタッフの対応が遅く、何度声をかけても焦る様子もなく、複数回確認してからようやく動いてくれたため、非常に不安な時間を過ごした。,-,S360-TP,2024-11-30,HND-ITM,Premium Economy,False,4,3,3,4,5,3,1,4
37,46,2025-01-09,最近、家族で海外旅行に行くために、プレミアムエコノミーで飛行機を利用しました。私は普段から仕事が忙しく、リラックスできる時間がなかなか取れないので、このフライトでは特にラウンジを楽しみにしていました。しかし、ラウンジ内のテーブルが汚れており、飲み物のカップもそのまま放置されている状態で、少し残念でした。スタッフに報告しましたが、対応が遅く、不快な思いをしたことは否めません。その後のフライトでは、機内食が本当に美味しくて驚きました。フライト中にこんなにリラックスできるとは思っていなかったので、少し救われました。しかし、離陸直後に揺れが激しくなり、機内スタッフが何も指示を出さなかったので、乗客は不安そうに過ごしていました。パニックに陥りそうな状況で、もっと冷静で確実な対応を期待していたので、そこは少し残念でした。,フライト中の機内食が予想以上に美味しく、リラックスできる時間を過ごせた。,-,-,-,-,-,-,ラウンジ内のテーブルが汚れており、飲み物のカップが放置されたままで、スタッフに報告しても対応が遅かった。,ラウンジ内のテーブルが汚れており、飲み物のカップが放置されたままで、スタッフに報告しても対応が遅かった。,-,-,ラウンジ内のテーブルが汚れており、使用済みカップが放置されていた上、スタッフに報告しても対応が遅く不快な思いをした。,離陸後の激しい揺れの際に機内スタッフから何の指示もなく、乗客が不安な思いをしたため、もっと冷静で確実な対応が欲しかった。,-,B830-10,2025-01-08,NRT-CDG,Economy Class,False,3,4,4,5,3,3,1,3
38,79,2025-02-26,先日は出張でBricks Airwaysを利用しました。東京からニューヨークまでの長いフライトでしたが、機内で観た映画が非常に面白く、退屈しらずでした。価格に見合った素晴らしい体験を提供してくれたと思います。座席の広さやサービスが全て素晴らしく、快適なフライトだったので、次回もBricks Airwaysを利用したいです。,-,長時間のフライト中に観た映画が非常に面白く、退屈せずに過ごせました。,-,料金に見合った素晴らしい体験で、座席の広さやサービスが全て素晴らしく快適なフライトでした。,-,-,座席が広く、快適なフライトを楽しむことができました。,-,-,-,-,-,-,-,B905-12,2025-02-25,HND-ITM,Premium Economy,True,5,3,4,3,4,4,3,3
39,93,2024-12-16,先日は初めて海外旅行でこの航空会社を利用しました。普段は出張で国内線をよく利用しますが、久しぶりの海外旅行で楽しみにしていたので、サービスに期待をしていました。搭乗前にちょっとした心配事があったので、事前にカスタマーサポートに電話をしました。対応は丁寧で、問題もすぐに解決してくれたので安心してフライトを楽しむことができました。機内は思っていたより広々としていて、座席のヘッドレストが高くて、首の疲れを軽減できたのが良かったです。エンタメが充実しており、最新の映画や音楽が楽しめるので、長時間のフライトもあっという間に感じました。他の航空会社と比べても、エンタメの充実度は非常に高く、非常に便利でした。次回も利用したいと思いました。ただし、トイレの清掃が不十分で、使用後に不快な思いをしたのは残念でした。空港のスタッフが清掃の頻度をもっと増やすべきだと感じました。全体としては、快適なフライトを楽しむことができ、次回も利用するつもりです。,-,最新の映画や音楽が充実しており、他社と比べても非常に高いエンタメ水準で、長時間のフライトもあっという間に感じました。,-,-,搭乗前の心配事に対して、カスタマーサポートが丁寧に対応し、問題をすぐに解決してくれたおかげで安心してフライトを楽しむことができました。,-,機内は広々としていて、座席のヘッドレストが高く首の疲れを軽減できた。,-,-,-,-,トイレの清掃が不十分で使用後に不快な思いをし、空港スタッフが清掃頻度を増やすべきだと感じた。,-,-,E190-E2X,2024-12-15,HND-SFO,Business Class,True,4,5,3,3,4,3,4,3
40,15,2024-11-18,私は普段から仕事で海外出張することが多く、最近は特にアジア方面へのフライトを利用しています。最新のプロジェクトでシンガポールへの出張が決まり、早速航空券を手配しました。搭乗したフライトでは、機内食の温かさとフレッシュさが完璧で、こんなに美味しい料理をフライト中に食べられることに驚きました。乗務員が細かいところまで気を配ってくれ、映画を観るために快適な場所に座れるようにサポートしてくれたので、とてもリラックスしてフライトを楽しむことができました。,機内食の温かさとフレッシュさが完璧で、フライト中にこれほど美味しい料理が食べられることに驚きました。,乗務員が映画を観るために快適な場所に座れるようサポートしてくれたおかげで、とてもリラックスしてフライトを楽しめました。,-,-,-,乗務員が細かいところまで気を配り、映画鑑賞に最適な座席へのサポートをしてくれたおかげで、リラックスしてフライトを楽しめました。,乗務員が映画鑑賞に適した快適な座席位置へのサポートをしてくれたおかげで、リラックスしてフライトを楽しめました。,-,-,-,-,-,-,-,E260-E3,2024-11-17,NRT-CDG,Business Class,True,5,3,4,5,4,3,3,4
